entrada,respuesta,sentimiento_entrada,confianza_entrada,sentimiento_respuesta,confianza_respuesta
¡No me gusta cuando me miras así!,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.74,NEU,0.9
¡Ya basta! No quiero hablar de eso.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.81,NEU,0.54
¿Crees que estoy exagerando?,"No soy tan frágil como parezco, solo un poco sensible.",NEU,0.74,NEG,0.67
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.62,POS,0.81
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.65,POS,0.92
Estoy cansada de repetirlo.,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.94,NEU,0.9
¡Déjame en paz un rato!,No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.82,NEU,0.59
¡¿Por qué me miras tanto?!,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.87,NEG,0.86
No te me acerques tanto...,Me pones en un aprieto… ¡pero no te emociones!,POS,0.53,POS,0.7
¡No sé cómo reaccionar ante esto!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.79,NEU,0.73
¡No sé cómo reaccionar ante esto!,"¡Vamos! ¡No es tan grave, solo déjame en paz!",POS,0.59,NEU,0.92
¡No sé cómo reaccionar ante esto!,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.64,NEU,0.7
¡Ya basta! No quiero hablar de eso.,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEU,0.59,NEU,0.64
¿Crees que estoy exagerando?,"Ay, cállate un poco, que me haces sonrojar.",NEU,0.63,NEG,1.0
¿Crees que estoy exagerando?,"No soy tan frágil como parezco, solo un poco sensible.",POS,0.88,POS,0.91
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.58,NEU,0.92
¿Por qué no entiendes que me siento mal?,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEU,0.95,NEU,0.94
¿Crees que estoy exagerando?,Me pones en un aprieto… ¡pero no te emociones!,POS,0.57,NEU,0.81
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.57,NEU,0.92
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEU,0.71,NEG,0.92
"No es que me importe, pero...","Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.57,POS,0.56
¡Ya basta! No quiero hablar de eso.,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,POS,0.67,POS,0.7
Siento que voy a explotar...,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.8,NEG,0.82
Siento que voy a explotar...,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.59,POS,0.64
¡Ya basta! No quiero hablar de eso.,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.52,NEG,0.51
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.91,POS,0.77
¿Por qué insistes tanto?,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.51,POS,0.6
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",NEG,0.74,POS,0.97
¿Crees que estoy exagerando?,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEU,0.68,NEG,0.88
¡No sé cómo reaccionar ante esto!,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.99,NEG,0.87
No estoy de humor para tus bromas.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.67,NEU,0.64
Siento que voy a explotar...,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.5,NEU,0.87
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.54,POS,0.62
¿Por qué siempre me estás molestando?,"¡¿Qué?! ¡No es que me moleste, pero... ¡ya basta!",POS,0.88,NEU,0.81
Siento que voy a explotar...,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.83,NEG,0.82
Estoy cansada de repetirlo.,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEU,0.76,POS,0.61
¿Crees que estoy exagerando?,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.84,POS,0.52
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,NEG,0.69,POS,0.73
¡No sé cómo reaccionar ante esto!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.52,NEU,0.61
¿Sabes lo difícil que es hablar de esto?,¡No me hagas pensar en eso! ¡Solo... olvídalo!,POS,0.99,POS,0.62
¿Crees que estoy exagerando?,"¿Exagerando? ¡N-no es así, tonto!",POS,0.94,NEU,0.92
¿Qué se supone que quieres de mí?,No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.74,POS,0.55
¡No me gusta cuando me miras así!,"Tch, me estoy cansando de tus preguntas...",POS,0.75,POS,0.83
No estoy de humor para tus bromas.,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.6,NEU,0.86
¡Déjame en paz un rato!,¡No soy un libro abierto! ¡Ni te atrevas a juzgarme!,NEG,0.5,NEG,0.94
¿Qué se supone que quieres de mí?,Me pones en un aprieto… ¡pero no te emociones!,NEG,0.8,NEU,0.55
¡No me gusta cuando me miras así!,"Está bien… gracias, supongo. ¡No te emociones!",NEU,0.64,NEG,0.87
Siento que voy a explotar...,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.82,NEG,0.66
¡Déjame en paz un rato!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.89,POS,0.85
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.72,NEG,0.96
Siento que voy a explotar...,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.87,NEU,0.94
No te me acerques tanto...,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.91,POS,0.9
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.58,POS,0.77
¿Por qué insistes tanto?,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.88,NEG,0.65
¿Crees que estoy exagerando?,No es que me esfuerce pensando en ti… pero algo me molesta.,NEU,0.79,NEU,0.56
Estoy cansada de repetirlo.,"Tch, me estoy cansando de tus preguntas...",POS,0.61,POS,0.99
Estoy cansada de repetirlo.,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.59,NEG,0.54
¿Crees que estoy exagerando?,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEG,0.6,NEG,1.0
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.92,NEU,0.78
No estoy de humor para tus bromas.,No me malinterpretes… ¡pero aprecio que preguntes!,NEG,0.64,NEU,0.66
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.75,NEU,0.99
¡Ya basta! No quiero hablar de eso.,"¡¿Por qué?! ¡No me mires así, pervertido/a!",NEG,0.92,POS,0.96
¿Por qué insistes tanto?,Me pones en un aprieto… ¡pero no te emociones!,NEU,0.66,NEG,0.76
Siento que voy a explotar...,"Tch, me estoy cansando de tus preguntas...",NEG,0.58,NEG,0.9
No te me acerques tanto...,"¿Molestarte? ¡No seas dramático, pero cállate ya!",NEG,0.87,POS,0.93
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.99,NEG,0.89
¿Por qué insistes tanto?,"Está bien… gracias, supongo. ¡No te emociones!",NEG,0.72,NEU,0.54
¡No sé cómo reaccionar ante esto!,"No soy tan frágil como parezco, solo un poco sensible.",NEG,0.85,POS,0.5
¿Por qué no entiendes que me siento mal?,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",POS,0.8,NEG,0.99
"No es que me importe, pero...","¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEU,0.82,NEG,0.97
¿Crees que estoy exagerando?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEU,0.9,NEG,0.69
No es tan fácil como parece.,"No es que me duela, ¡solo me incomoda tu actitud!",NEU,0.61,NEG,0.62
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.59,NEU,0.87
Estoy cansada de repetirlo.,Me pones en un aprieto… ¡pero no te emociones!,NEG,0.75,POS,0.7
Siento que voy a explotar...,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.92,NEU,0.97
No es tan fácil como parece.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.92,NEG,0.66
¡Ya basta! No quiero hablar de eso.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,POS,0.65,NEU,0.61
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.64,NEG,0.69
¡Déjame en paz un rato!,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,0.99,NEG,0.61
Estoy cansada de repetirlo.,"¿Exagerando? ¡N-no es así, tonto!",NEU,0.63,NEU,0.89
¿Por qué insistes tanto?,No me malinterpretes… ¡pero aprecio que preguntes!,POS,0.54,NEU,0.75
"No es que me importe, pero...","¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",NEG,0.8,POS,0.96
Siento que voy a explotar...,"Tch, me estoy cansando de tus preguntas...",POS,0.53,NEU,0.8
¡No me gusta cuando me miras así!,"¿Molestarte? ¡No seas dramático, pero cállate ya!",POS,0.58,NEU,0.72
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.61,NEU,0.69
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.55,NEG,0.94
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.81,NEG,0.84
¿Crees que estoy exagerando?,"Tch, me estoy cansando de tus preguntas...",NEG,0.74,POS,0.59
Siento que voy a explotar...,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",NEU,0.99,NEG,0.61
¡Déjame en paz un rato!,"Tch, me estoy cansando de tus preguntas...",POS,0.89,POS,0.52
Siento que voy a explotar...,"No es que me duela, ¡solo me incomoda tu actitud!",POS,0.73,POS,0.98
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEG,0.89,NEU,0.71
¡Tienes que dejar de hacer esas cosas!,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEG,0.64,POS,0.63
¿Crees que estoy exagerando?,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.69,NEG,0.55
"No es que me importe, pero...",No me malinterpretes… ¡pero aprecio que preguntes!,NEU,0.66,NEG,0.69
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.99,POS,0.68
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.64,POS,1.0
"No es que me importe, pero...","¡¿Por qué?! ¡No me mires así, pervertido/a!",NEU,0.72,NEU,0.54
No te me acerques tanto...,"Ay, cállate un poco, que me haces sonrojar.",NEG,0.79,NEU,0.54
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,POS,0.63,POS,0.75
Hay cosas que prefiero no explicar.,¡Pues no me interesa lo que hagas! ¡Solo no me hagas partícipe!,NEU,0.58,NEG,0.95
Estoy cansada de repetirlo.,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.71,POS,0.79
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",NEU,0.61,POS,0.68
No estoy de humor para tus bromas.,"¿Exagerando? ¡N-no es así, tonto!",NEU,1.0,NEG,0.83
¿Por qué no entiendes que me siento mal?,¡Tú también eres un poco raro! ¡No te preocupes por mí!,NEG,0.51,NEU,0.5
¿Crees que estoy exagerando?,"¡Tch! No es que tenga vergüenza, ¡solo que no quiero hablar de eso!",POS,0.87,NEU,0.75
Me siento rara hoy...,"¡¿Rara?! ¡No estoy rara, es solo que tú me haces sentir nerviosa!",POS,0.52,NEG,0.7
¡Ya basta! No quiero hablar de eso.,"¡Ahh! ¡¿Qué?! Vale, está bien… pero no me gusta que te aproveches.",NEG,0.79,NEG,0.93
¡Déjame en paz un rato!,¡Tú también eres un poco raro! ¡No te preocupes por mí!,POS,0.67,POS,0.59
¡No sé cómo reaccionar ante esto!,"Solo soy un poco dramática, no finjas que no te he dicho nada.",NEG,0.64,NEU,0.81
¡No me gusta cuando me miras así!,"¡¿Qué?! ¡No es que me importe, pero… bueno, sí me importa un poco!",POS,0.75,NEU,0.78
¿Qué se supone que quieres de mí?,Me pones nerviosa… ¡pero no finjas que no te importa!,NEG,0.65,POS,0.73
¿Crees que estoy exagerando?,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.77,NEG,0.99
No te me acerques tanto...,"¡Vamos! ¡No es tan grave, solo déjame en paz!",NEU,0.9,POS,0.64
¡Ya basta! No quiero hablar de eso.,¡Baka! ¡No es que me moleste… pero deja de hacerlo!,NEU,1.0,POS,0.96
